Y/N,question,answer,explination,category,subcategory,type
,Metamorphic Facies,A set of metamorphic mineral assemblages that have reached chemical equilibrium during metamorphism within a restricted range of temperature and pressure conditions. ,Order of metamorphic occurance within specific temperature and pressure ranges.,Mineralogy / Petrology,,
,Metamorphic Grade,"The intensity or rank of metamorphism, measured by the amount or degree of difference between the original rock and the metamorphic rock. ",Metamorphic intensity measured as the difference from the original rock.,Mineralogy / Petrology,,
,Metasomatism,The process of mineral replacement whereby a new mineral of a different chemical composition grows in an old mineral. Interestitial liquids or gases must be present for solution and deposition to occur.,The formation of a new mineral within deteriorated spaces in an old mineral.,Mineralogy / Petrology,,
,Mineral Assemblages,"The minerals that compose a rock, including the different kinds and their relative abundance.",---,Mineralogy / Petrology,,
,Pelitic,"Referring to a rock that is composed of clay or clay sized particles, or derived from metamorphism of a fine-grained sediment.",---,Mineralogy / Petrology,,
,Phaneritic,"A rock texture that refers to grain sizes that are large enough to be seen with the naked eye, and indicating a slower rate of cooling. ",---,Mineralogy / Petrology,,
,Phase Diagram,"A representation of the stability of different phases of a system, often plotted with temperature, pressure, and composition. ",Notates the boundaries of solid solution and melt. ,Mineralogy / Petrology,,
,Plutonic Rocks,Igneous rocks that are generally coarsely crystalline (phaneritic) and are formed from a large intrusion at depth. ,---,Mineralogy / Petrology,,
,Polymorphism,The characeristic of a mineral to exist in more than one form.,"Polymorphs have the same chemical composition/formula, but are formed under differing temperature / pressure conditions. ",Mineralogy / Petrology,,
,Provenance,The place of origin from which the constituent materials of a sedimentary rock or facies are derived.,Where sedimentary source material came from.,Mineralogy / Petrology,,
,Regional Metamorphism,"Metamorphism acting over large areas resulting from applied pressures of 3000 to 10,000 bars and temperatures of 400 C to 800 C. Regional metamorphism also referred to as dynamothermal metamorphism.",The Important Part -> Metamorphism over a large area.,Mineralogy / Petrology,,
,Regression,The withdrawal of the sea from land.,Thickining sequence in sediment log,Mineralogy / Petrology,,
,Rock Stratigraphic Unit,A rock unit that is characterized by a particular lithology and stratigraphic position. A synonym is Lithostratigraphic Unit.,---,Mineralogy / Petrology,,
,Sessile,A plant or animal thatis attached and cannot move.,---,Mineralogy / Petrology,,
,Silicates,"Compounds whose crystal structure contain SiO4 tetrahedra, either isolated or joined to form groups, rings, single or double chains, sheets or three-dimensional frameworks.",---,Mineralogy / Petrology,,
,Solid-Solution Series,A series of minerals of identical structures that contain a mixture of two or more elements over a range of proportions.,Similar minerals that are distinguishable by slight differences in element abundance of a set chemical composition.,Mineralogy / Petrology,,
,"""What is the predominant volcanic rock high in quartz?""",Rhyolite,---,Mineralogy / Petrology,,
,"""As a melt cools, what elements deplete?""",Mg and Ca,---,Mineralogy / Petrology,,
,"""As a melt cools, what elements enriches?""",Na and K.,---,Mineralogy / Petrology,,
,"""What is the order of deposition for evaporates?""",Calcite -> gypsum -> halite,---,Mineralogy / Petrology,,
,"""Give an example of a nonfoliated metamorphic rock?""",Marble or Quartzite.,---,Mineralogy / Petrology,,
,"""Give an example of a strongly foliated metamorphic rock?""","Slate, phyllite, or schist",---,Mineralogy / Petrology,,
,"""This metamorphic facies develops in subduction zones at low temperatures and high pressures?""",Blueschist Facies,---,Mineralogy / Petrology,,
,"""This metamorphic facies develops with the burial of shale in subduction zones, low leve metamorphism, metasedimentary rocks retain original characteristics.""",Zeolite and prehnite-pumpellyite facies.,---,Mineralogy / Petrology,,
,"""This metamorphic facies develops under regional metamorphism with moderate temp and pressures, form low-grade metamorphic rocks such as slate, phyllite.""",Amphibolite Facies. ,---,Mineralogy / Petrology,,
,"""This metamorphic facies develops in deep regional metamorphism with very high temp and pressures, forms highest grade metamorphic rocks.""",Granulite Facies,---,Mineralogy / Petrology,,
,"""This metamorphic facies develops in tectonic blocks and shear zones under very high pressures and are rare except in California.""",Eclogite Facies,---,Mineralogy / Petrology,,
,Feldspathoid / Foid,An igneous rock containing up to 60% modal feldspathoids (i.e. syenite).,---,Mineralogy / Petrology,,
,"""Does a fining upward sequence reflect transgression or regression?""",Transgression,---,Mineralogy / Petrology,,
,"""Does a coarsening upward sequence reflect transgression or regression?",Regression,---,Mineralogy / Petrology,,
,"""What kind of intrusions are formed by crystal settling of melt. An example is the Bushveld Complex of South Africe?""",Layered Mafic Intrusions,---,Mineralogy / Petrology,,
,"""What are carbonatites commonly exploited for?""",Rare Earth Elements,---,Mineralogy / Petrology,,
,"""The majority of the entire world's [what] resrouces come from ophiolites?""",Asbestos,---,Mineralogy / Petrology,,
,Stalactite,Travertine hanging from the ceiling.,tite- top,Mineralogy / Petrology,,
,Stalagmite,Travertine deposit on the ground resulting from the dripping of calcium carbonate fluid.,mite- not top,Mineralogy / Petrology,,
,Test,The external hard part of an invertebrate,---,Mineralogy / Petrology,,
,Time Stratigraphic Unit,A rock unit that is characterized by formation during a specific period of time and serves as a reference for all rocks formed during the same time period. A synonym is Chronostratigraphic Unit.,---,Mineralogy / Petrology,,
,Transgression,The advance of the sea onto land.,Thinning sequence in sed core (coarse to fines),Mineralogy / Petrology,,
,Travertine / Dripstone,Rock created from the precipitation of dissolved calcium carbonate.,---,Mineralogy / Petrology,,
,Twinning,The intergrowth of two or more crystals in a symmetrical way. ,---,Mineralogy / Petrology,,
,Type Locality,The place where a geologic feature (such as a fossil species) was first recognized and described. It contains the type section.,Where a rock unit was first found.,Mineralogy / Petrology,,
,Type Section,The originally described strata that constitutes a stratigraphic unit to which other parts of the unit may be compared. ,The unique characteristics of a first found rock unit.,Mineralogy / Petrology,,
,Ultramafic,An igneous rock composed of 90% or more of mafic minerals.,---,Mineralogy / Petrology,,
,Zeolites,"A large group of hydroaluminosilicate mineral that are analogous in composition ot the feldspars. They occur in basalt cavities, saline lake and deep sea sediments, and volcanic tuff. They are used as water softeners or desiccants. ",Hydroaluminoslicate minerals that often form in basalt cavaties.,Mineralogy / Petrology,,
,Zoning,"A variation of composition of a crystal, characteristic of feldspars. The interior or center is formed by a high temperature phase, while the exterior or margin is formed by a low temperature phase.",---,Mineralogy / Petrology,,
,"""What are common physical properties used to directly describe a mineral from hand sample?""","Habit, hardness, cleavage / fracture, streak, luster, color.",---,Mineralogy / Petrology,,
,"""What is the mineral order of the Moh's Hardness Scale from softest (1) to hardest (10)?""","1) talc, 2) gypsum, 3) calcite, 4) fluorite, 5) apatite, 6) feldspars), 7) quartz, 8) topaz, 9) corundum, 10) diamond",---,Mineralogy / Petrology,,
,"""What is the Moh's Hardness of a fingernail?""",It is 2.5,---,Mineralogy / Petrology,,
,"""What is the Moh's Hardness of a copper penny?""",It is 3.5,---,Mineralogy / Petrology,,
,"""What is the Moh's Hardness of a pocket knife?""",It is 5.5,---,Mineralogy / Petrology,,
,"""What is the Moh's Hardness of a steel file?""",It is 6.5,---,Mineralogy / Petrology,,
,"""What are examples of luster descriptions?""","Metallic, glassy, vitreous, pearly, resinous, silky, or dull.",---,Mineralogy / Petrology,,
,"""About what percentage of the continental crust is made up by igneous rocks?""",~75%,---,Mineralogy / Petrology,,
,"""About what percentage of the oceanic crust is made up by igneous rocks?""",~90%,---,Mineralogy / Petrology,,
,"""About what distance of the top of the crust is mostly made up by igneous rocks?""",~10 miles.,---,Mineralogy / Petrology,,
,"""What's the difference between phaneritic and porphyritic textures?""","Phaneritic is a generalized texture describing large crystal grains, while porphyritic specifies a size difference between large crystal grains (phenocrysts) and much smaller groundmass grains.",---,Mineralogy / Petrology,,
,"""How does a porphyritic texture form?""","It forms from two phase cooling, each forming a different size of crystal grains.",---,Mineralogy / Petrology,,
,"""What's the difference between porphyritic and pegmatitic textures?""","Pegmatitic texture forms similar to the two phase cooling of porphyritic texture, however, pegmatites had water present, resulting in even larger porphyrocrysts forming.",---,Mineralogy / Petrology,,
,"""What are the the two common plagioclase solid solution endmembers, and their distinguishing elements?""","Albite (Na - Sodium), and Anorthite (Ca - Calcium).",---,Mineralogy / Petrology,,
,"""What mineral abundances are on the corners of the QAPF plutonic diagram?""","Upper - Quartz, Left - Alkali-Feldspar, Right - Plagioclase, Lower - Feldspathoids.",---,Mineralogy / Petrology,,
,"""From felsic to ultramafic, what are the generalized plutonic rock types?""","Granite, diorite, gabbro, peridotite.",---,Mineralogy / Petrology,,
,"""From felsic to mafic, what are the generalized extrusive igneous rock types?""","Rhyolite, andesite, basalt.",---,Mineralogy / Petrology,,
,"""On Bowen's Reaction Series, what are the times of crystallization associated with low and high temperatures?""","Low temperatures are associated with late crystallization, while high temperatures are associated with early crystallization.",---,Mineralogy / Petrology,,
,"""On Bowen's Reaction Series, what degree of stability is generally associated with low and high temperatures?""","Low temperatures are associated with high stability, while high temperatures are associated with low stability.",---,Mineralogy / Petrology,,
,"""On Bowen's Reaction series, from low to high temperature, what is the order of the Discontinuous Series?""","Quartz, muscovite, K-feldspar, biotite, amphibole, pyroxene, olivine.",---,Mineralogy / Petrology,,
,"""On Bowen's Reaction series, from low to high temperature, what is the order of the Continuous Series?""","Quartz, muscovite, K-feldspar, albite, oligoclase, andesine, labradorite, bytownite, anorthite.",---,Mineralogy / Petrology,,
,"""What is the most common intrusive rock?""",Gabbro,---,Mineralogy / Petrology,,
,"""What is the most widespread mineral?""",Feldspars,---,Mineralogy / Petrology,,
,"""What crystalizes earlier at higher temperatures, calcium rich plagioclase (anorthite) or sodium-rich plagioclase (albite)?""","Calcium-rich plagioclase, anorthite.",---,Mineralogy / Petrology,,
,"""What crystalizes later at lower temperatures, calcium rich plagioclase (anorthite) or sodium-rich plagioclase (albite)?""","Sodium-rich plagioclase, albite.",---,Mineralogy / Petrology,,
,"""What are three types of sedimentary rocks?""","Clastic, chemical / evaporative, biochemical.",---,Mineralogy / Petrology,Sedimentology,
,"""How do clastic sedimentary rocks form?""",They form from the consolidation of loose sediments that have accumulated in layers/,---,Mineralogy / Petrology,Sedimentology,
,"""How do chemical / evaporative rocks form?""",They form from precipitation from solution.,---,Mineralogy / Petrology,Sedimentology,
,"""How do biochemical rocks form?""",They form from biologic processes. ,---,Mineralogy / Petrology,Sedimentology,
,"""What are the Wentworth particle sizes from smallest to largest?""","Clay, silt, sand, gravel, pebble, cobble, boulder.",---,Mineralogy / Petrology,Sedimentology,
,Turbidites,Poorly-sorted clastic sedimentary rock formed as a result of turbidity current deposits.,---,Mineralogy / Petrology,Sedimentology,
,"""What are the most common sedimentary rocks?""",Shales.,---,Mineralogy / Petrology,Sedimentology,
,"""How does dolomite form?""",Dolomite is preciptated directly from waters in highly saline tidal flats that are enriched with magnetsium ions. It may form from limestone as caclium is replaced with magnesium. ,---,Mineralogy / Petrology,Sedimentology,
,"""How does limestone form?""","Limestone forms either from the accumulations of chemical precipitation, or from calcium carbonate secreting organisms. ",---,Mineralogy / Petrology,Sedimentology,
,"""What are the two predominant minerals in limestone?""",Calcite and aragonite.,---,Mineralogy / Petrology,Sedimentology,
,"""What is the general density of granite?""",2.6 g/cm^3,---,Mineralogy / Petrology,,
,"""What is the general density of basalt?""",3.0 g/cm^3,---,Mineralogy / Petrology,,
,"""How does diatomite form?""","Diatomite forms from the accumulation of diatom shells, and the silica-rich ooze it secretes. ",---,Mineralogy / Petrology,Sedimentology,
,"""How does chert form?""",Chert forms from the congregation of extremely fine-grained silica being melded together by organic calcium carbonate.,---,Mineralogy / Petrology,Sedimentology,
,"""What is the protolith of slate?""","Mudstone, shale, siltstone, tuff",---,Mineralogy / Petrology,,
,"""What is the protolith of phyllite?","Clay, shale, tuff",---,Mineralogy / Petrology,,
,"""What is the protolith of schist?""","gabbro, basalt, tuff, shale, sandstone",---,Mineralogy / Petrology,,
,"""What is the protolith of gneiss?""","Silicieous igneous rock, rhyolite, tuff, sandstone",---,Mineralogy / Petrology,,
,"""What is the protolith of quartzite?""","Sandstone, chert",---,Mineralogy / Petrology,,
,"""What is the protolith of marble?""","Limestone, dolomite",---,Mineralogy / Petrology,,
,"""What is the protolith of hornfels?""",Claystone,---,Mineralogy / Petrology,,
,"""What is the protolith of skarn?""","Limestone, dolomite",---,Mineralogy / Petrology,,
,"""What is the protolith of greenstone?""",Mafic igneous rocks,---,Mineralogy / Petrology,,
,"""What is the protolith of serpentinite?""",Peridotite,---,Mineralogy / Petrology,,
,"""What is the protolith of amphibolite?""",Basic igneous rocks,---,Mineralogy / Petrology,,
,"""What is the protolith of granofels / granulite?""",Basement gneisses or igneous rocks,---,Mineralogy / Petrology,,
,"""What is the protolith of eclogite?""",Basalt,---,Mineralogy / Petrology,,
,Migmatite,A metamorphic rock that's undergone partial melting from its protolith. Essentially the halfway point between the host rock and an igneous rock.,---,Mineralogy / Petrology,,
,Mylonite / Cataclasts,"A fine-grained, typically banded metamorphic rock resulting from the grinding or crushing of other rocks. ",---,Mineralogy / Petrology,,
,"""What is the order of regional metamorphic facies by increasing grade?""","Zeolite, prehnite-pumpellyite, blueschist, greenshist, amphibolite, granulite, eclogite",---,Mineralogy / Petrology,,
,Karst Environment,"A region underlain by limestone, dolomite, gypsum, or other rocks which can be affected by dissolution. ",---,Geomorphology,,
,"""Where in a karst aquifer is the most acidic?""",At the watertable. ,---,Geomorphology,,
,Sinkholes,Circular depressions that are commonly funnel-shaped and can be a few feet to a hundred feet in diameter.,---,Geomorphology,,
,"""Is a graben the downthrown or upthrown block?""",Upthrown.,---,Geomorphology,,
,"""Is a horst the downthrown or upthrown block?""",Downthrown. ,---,Geomorphology,,
,Nappe,Material from tectonic plate collision that has been thrusted on top of the underlying material as much as a mile or two,Regional scale thrust faulting. ,Geomorphology,,
,Crown,The undistrubed in-place material above the head scarp of a slide. ,---,Geomorphology,,
,Colluvium,The material that accumulates at the foot of a slope.,---,Geomorphology,,
,Solifluction,The downslope movement of saturated soils.,---,Geomorphology,,
,Joints,Cracks without any displacement. ,---,Geomorphology,Structural / Field,
,Sturzstroms,When a large rock moves downslope and breaks up into smaller chunks as it travals.,"I have never heard of this term before.  If it's on the test, I swear I'm walking out",Geomorphology,,
,Lahar,Volcanic mudflow. Travels quickly.,---,Geomorphology,,
,Recurrence Interval,The frequency of a storm of a designated magnitude. The time between those storms.,---,Geomorphology,,
,"""Which has greater overall pore volume? Homogenous fine or coarse grained soil?""",Fine grained.,---,Geomorphology,,
,"""In order of increasing size, what is the evolution of channels?""","Rills, gullies, streams, rivers",---,Geomorphology,,
,Hydrograph,A graph that charts discharge (Q) against time.,---,Geomorphology,,
,Laminar Flow,"Streamlined flow along a parallel path (non-turbulent), where direction is constant along all fluid particles.",---,Geomorphology,Sedimentology,
,Reynolds Number,A value used to determine whether flow is considered laminar (<500) or turbulent (>1200). Given by Re = (Fluid Density x Length x Flow Velocity) / mu(dynamic viscosity),---,Geomorphology,Sedimentology,
,"""What is the realistic distribution of flow types in a channel?""","Laminar near the surface, turbulent near the channel bed. ",---,Geomorphology,Sedimentology,
,Streaming Flow,Normal amount of turbulence found in most streams.,---,Geomorphology,Sedimentology,
,Shooting Flow,Higher velocity streams. ,---,Geomorphology,Sedimentology,
,Froude Number,"Determines the difference between streaming * shooting flow where <1 = streaming, and >1 = shooting",---,Geomorphology,Sedimentology,
,Denudation,"Process where moving water, ice, wind and waves erodes Earth's surface leading to a reduction in elevation. ",---,Geomorphology,Sedimentology,
,Saltation,Transportation of particles too large to be suspended.,---,Geomorphology,,
,Traction,The rolling/sliding aspect of saltation of particles along a bedload. ,---,Geomorphology,,
,Hydraulic Lift,"When a particle has lower pressure towards its top than its bottom. The particle seeks a region of less pressure, thus lifts upwards.",---,Geomorphology,,
,Braided Streams,"Low sinuosity channels that split up, then re-intersect. Literally looks like ""braids"" from aerial view.",---,Geomorphology,,
,Meandering Streams,High sinuosity channels. Eventually terminates into ox bow lakes. Forms because natural pertubations create more turbulence that causes banking. ,---,Geomorphology,,
,Point Bars,The build up of eroded sediment on an inner bend of a meandering rivers.,---,Geomorphology,,
,Anastomizing Channel,"Similar to braided channels, but has multiple deep channels with stable banks.",---,Geomorphology,,
,Graded Streams,When just enough energy is provided from water flow to allow for the transportation of basin material without substantial buildup.,---,Geomorphology,,
,Degradation,Lowering of a fluvial surface through erosional processes.,---,Geomorphology,,
,Aggradation,Long term accumulation of fluvial sediments in a channel.,---,Geomorphology,,
,Drainage Density,The amount of stream chanels per drainage area. Given by Dd = Sum of Stream Lengths / Area of Basin,---,Geomorphology,,
,Crenulation,"Metamorphic fabric created by two stress directions, creating two evident merged foliation planes. ",---,Geomorphology,Mineralogy / Petrology,
,Badlands,"Areas with high drainage density, steep slopes, and minimal vegetation.",---,Geomorphology,,
,Consequent Streams,Streams that take their path directly following the slope of existing landforms.,---,Geomorphology,,
,Insequent Streams,Streams that create their own tributaries from RANDOM headward erosion.,---,Geomorphology,,
,"""Paternoster Lakes are likely to be found in what type of glacial area?""",Alpine Glaciation.,---,Geomorphology,,
,Subsequent Streams,Streams that take their flow direction based on rock resistance. ,---,Geomorphology,,
,Obsequent Streams,Streams that flow in opposite direction from how it originally flowed.,---,Geomorphology,,
,Dendritic Drainage,Tree-like pattern caused by insequent headway.,---,Geomorphology,,
,Trellis Drainage,"Highly angular pattern caused by subsequent headway, with downward drainage.",---,Geomorphology,,
,Rectangular Drainage,"Flat-lying, highly angular subsequent flow, often flowing through joints. Commonly found along igneous rock jointing.",---,Geomorphology,,
,Radial Drainage,"Circular, downslope flow away from a single high elevation point. ",---,Geomorphology,,
,Annular Drainage,Circular drainage pattern similar to a a bullseye.,---,Geomorphology,,
,"""What are the five common drainage patterns?""","Dendritic, trellis, rectangular, radial, and annular.",---,Geomorphology,,
,Abstraction,Headward erosional processes that progress until a channel undercuts and captures another stream. ,---,Geomorphology,,
,Alluvial Fans,"Low, triangular shaped deposits built from accumulation of sediments deposited at the mouth of a valley. The fan shape is caused by the mouth of the channel avulsing, swinging back and forth as it deposits sediments.",---,Geomorphology,,
,Terraces,"Areas where a stream is/has cutting/cut through an existing valley, creating multiple flat plains of differeing elevation.",---,Geomorphology,,
,Eustatic Sea Level,Distance from the center of the Earth to sea level.,---,Geomorphology,,
,Fault Gauge,Fine grained powder resulting from faulting. Simlar to coasrese grained fault-breccia.,---,Geomorphology,,
,Uvalas  / Compound Sinkholes,The coalition of smaller sinkholes into a larger sinkhole. ,---,Geomorphology,,
,Holokarst Drainage,When an entire drainage system is karstic.,---,Geomorphology,,
,Fluviokarst,A drainage system that is a combination of karst and fluvial processes.,---,Geomorphology,,
,Cratons,"Old, expansive, stable, low-relief regions of continental crust.",---,Geomorphology,,
,Shield,"Old, crystalline basement rock of cratons.",---,Geomorphology,,
,Bench,A graded sloped area between two cliffs / a cliff and groundlevel. ,---,Geomorphology,,
,Basal Sapping,Diffusion of a bench to a cliff.,---,Geomorphology,,
,Mesas,"Detached cliffs, isolated by multiple ""retreats"" from all directions.",---,Geomorphology,,
,Butte,Heavily sapped cliffs remaining as a narrow summit. Sort of like a super-thin mesa.,---,Geomorphology,,
,Hogsback,"Ridge formed by a tiliting bed, with roughly equal dip on both sides.",---,Geomorphology,,
,Cuesta,"Ridge formed by a tilting bed, where one side is sloped gently and the other steeply. ",---,Geomorphology,,
,Flatiron,Generalized V-shaped notch creating a triangular shape due to incision.,---,Geomorphology,,
,Drag Folding / Fault Drag,Bending of beds near a fault. ,---,Geomorphology,Structural / Field,
,Shield Volcano,"Formed from hot, fluid lava over long period of time.",---,Geomorphology,Mineralogy / Petrology,
,Stratovolcano / Composite Cone,Formed from a combination of pyroclastic and lava flow. Steep sides.,---,Geomorphology,Mineralogy / Petrology,
,Plug Domes,When viscous flow doesn't flow far away from the vent. Results in irregular summits. ,---,Geomorphology,Mineralogy / Petrology,
,Caldera,Central depression of a volcanic cone. ,---,Geomorphology,Mineralogy / Petrology,
,"""How do slopes compare between basaltic and rhyolitic/dacitic flows?""",Basaltic flows create gentle slopes while rhylolitic / dacitic flows create steep slopes.,---,Geomorphology,Mineralogy / Petrology,
,Pahoehoe,"Lava flow with smooth, ropy texture. Indicative of slower lava flow.",---,Geomorphology,Mineralogy / Petrology,
,A'a,"Lava flow with rough, rubbly texture. Indicative of quicker lava flow.",---,Geomorphology,Mineralogy / Petrology,
,Batholith,Plutons greater than 100 km^2 area.,---,Geomorphology,,
,Stocks,Plutons less than 100 km^2 area.,---,Geomorphology,,
,Concordant Plutons,Large scale injection parallel to bedding and foliation.,---,Geomorphology,,
,Sills,Small scale injection parallel to bedding and foliation. Often tabular.,---,Geomorphology,Mineralogy / Petrology,
,"""How do glaciers generally form?""",Snowfall -> compaction due to snow weight -> recrystallization as melt fills pores and freezes.,---,Geomorphology,,
,Firn / Neve,Partially compacted snow and ice that encompasses the uppermost portion of a glacier. ,---,Geomorphology,,
,Regelation,Where pressure melting creates a slip surface for a glacier to flow on. ,---,Geomorphology,,
,Crevasses,Deep cracks in glaciers formed by tensional forces,---,Geomorphology,,
,Ogives,Bands of alternating dark and light ice.,---,Geomorphology,,
,Alpine Glaciers,Mountain region glaciers.,---,Geomorphology,,
,Firn Line,The area that separates the snow-covered portion of a glacial region to the section that's entirely made of ice.,---,Geomorphology,,
,Cirque Glaciers,"Glaciers restricted to cirques, above the firn line.",---,Geomorphology,,
,Valley Glaciers,Glaciers that travel well beyond the firn line.,---,Geomorphology,,
,Piedmont Glaciers,When a valley glacier discharges ice in a radial pattern. ,---,Geomorphology,,
,Ice-Cap / Ice-Sheet,Glaciers large enough to not be restricted by topography. ,---,Geomorphology,,
,Accumulation,All processes by which snow and ice are added to a glacier.,---,Geomorphology,,
,Ablation,All processes by which snow and ice is lost from a glacier.,---,Geomorphology,,
,Plucking / Quarrying,When rocks loosened by freeze thaw are picked up by a moving glacier.,---,Geomorphology,,
,Calving,Where ice from a terminal glacier ends up in the sea or breaks off over cliffs.,---,Geomorphology,,
,Net Mass Balance,Annual difference in mass between accumulation and ablation. ,---,Geomorphology,,
,Response Time,The time between a climatic peturbation and the retreat of a glacier.,---,Geomorphology,,
,Abrasion,"Where rocks are transported at the base of a glacier, and moves across/below it. May result in scouring and / or polishing.",---,Geomorphology,,
,Chattermarks,Crecent shaped marks left from intense local glacial stresses. Flow direction is given from the smooth direction of the chattermark. ,---,Geomorphology,,
,Till,Glacial sediment deposited directlyh from glacial ice.,---,Geomorphology,,
,Outwash,Sediment deposited by glacial meltwater streams.,---,Geomorphology,,
,Glaciolacustrine,Sediment deposited by glacial lakes.,---,Geomorphology,,
,Eratics ,Lithologies that don't match local bedrock.,---,Geomorphology,,
,Drift,Any deposits associated with glacial processes.,---,Geomorphology,,
,Diamictons,"Non-stratified, poory sorted clasts. Includes till, glaciomarine and glaciolacustrine drift.",---,Geomorphology,,
,"""What are the characteristics of till?""","Poor sorting, no stratification, polishing and/or striations.",---,Geomorphology,,
,"""How can you recognize glacial outwash / glaciofluvial sediment?""","Observable through abrupt changes in sediment particle size due to bursting, with larger particles near the burst point. Note that sediment deposited by meltwater has better sorting. ",---,Geomorphology,,
,"""What do braided streams tell us about their load size?""",They tell us that the travelling load is greater than capacity. ,---,Geomorphology,,
,Grus,The in-place granular disintegration of granite.,---,Geomorphology,,
,"""Pasternoster Lakes are likely to be found in areas of what type of glaciation?""",Alpine Glaciation. ,---,Geomorphology,,
,Varve,A seasonal layer of deposited sediment that follows a rhythmic deposition pattern.,---,Geomorphology,,
,Loess,Glaciosediment layer deposited by glacioeolian movement of glacial rock powder. Mainly comprised of quartz. ,---,Geomorphology,,
,Cirques,Semicircular depression along mountain slopes.,---,Geomorphology,,
,Tarn,Glacial lakes that form in cirques.,---,Geomorphology,,
,Nivation,Freeze thaw and mass wasting beneath snowbanks.,---,Geomorphology,,
,Solifluction Lobes,Where saturated flow travels downslope and forms lobe topography.,---,Geomorphology,,
,Nivation Basins,Excavation of solifluction lobes by nivation. ,---,Geomorphology,,
,Cirque Glacier,When ice and snow accumulates and compacts in nivation basins. ,---,Geomorphology,,
,Bergschund,Deep crevasse that forms paralel to a cirque headwall. ,---,Geomorphology,,
,Aretes,"When cirques consume large portions of a mountain wal, they leave behind sharp ridges that act as drainage divides. ",---,Geomorphology,,
,Col,"Smooth, lowest point between two arete peaks. ",---,Geomorphology,,
,Horn,A sharp peak resulting from the erosion from three or more glaciers / cirques,---,Geomorphology,,
,Truncated Spurs,A straight line pathway created by a glacier since it can't bank corners. ,---,Geomorphology,,
,Gacial Troughs,Any area carved out from a glacier.,---,Geomorphology,,
,Fjords,Valleys where glacial troughs meet the sea / valeys where glaciers terminate.,---,Geomorphology,,
,Paternoster Lakes,Chains of small lakes through valleys. ,---,Geomorphology,,
,Finger Lakes,Scouring and deepening of pre-glacial streams through troughing creates lakes that are parallel to glacier movement. ,---,Geomorphology,,
,Drumlins,Till streamlined by glaciers into hils. Often forms in abundant number. The thin towards the thick side of a drumlin is the direction of glacial movement. ,---,Geomorphology,,
,Dead-Ice Moraine,"When a terminal moraine doesn't recede and motion = 0, the glacier wil drop its overlaying materia creating an unusually large fan. ",---,Geomorphology,,
,Recessional Moraines,Successive retreats and standstills of glacial margins.,---,Geomorphology,,
,Lateral Moraines,Linear ridges of till along the sies of glaciers.,---,Geomorphology,,
,Medial Moraines,Moraine boundary created between two converging glaciers. ,---,Geomorphology,,
,Flutes,"Long, straight, narrow, parallel ridges commonly associated with drumlins. Formed from hitting a bounder, then accumulation being redirected around it. ",---,Geomorphology,,
,Esker,Sediment deposited by a subglacial river.,---,Geomorphology,,
,Kames / Knobs,Hills formed when sediment a top a glacier is deposited when it melts. ,---,Geomorphology,,
,Kettles,A partly buried detached glacier that melts and leaves behind a depression. ,---,Geomorphology,,
,Disintegration Trench / Ridge,"When dript atop ice is deposited in twin ridge pattern following glacial melting. Starts as a depression in ice filled with drift, creating a mound shape of drift with ice in the center, then when that ice melts, the elevation on the sides of the mound remain the same, while the center area becomes a depression. ",---,Geomorphology,,
,Outwash Plain,"Deposition of sand and meltwater streams beyond the margins of glaciers. Produces flat, sloped plains away from the glacier.",---,Geomorphology,,
,Pluvial Lake,Lakes that are filled only when there's a glacial episode.,---,Geomorphology,,
,Periglacial,"Nonglacial processes associated with cold climates, such as permafrost and freeze / thaw.",---,Geomorphology,,
,Upfreezing,Formation of ice lenses that cause the upward movement of stones and objects during frost heaving.,---,Geomorphology,,
,Frost Creep,Downslope movement of material during frost heaving. ,---,Geomorphology,,
,Solifluction,Soil flow.,---,Geomorphology,,
,Block Fields,Relatively flat mountanous areas covered by angular blocks due to frost wedging.,---,Geomorphology,,
,Permafrost,"Perennially frozen ground, frozen by low air temperatures. Temperature has remained below zero degrees for more that two years. Pore water acts as a cement for the material. ",---,Geomorphology,,
,Tulik,The zone of unfrozen ground beneath permafrost.,---,Geomorphology,,
,Fetch,Distance over which wind blows.,---,Geomorphology,,
,"""What does wave direction depend on?""","Wave duration depends on wind velocity, wind duration, and fetch. ",---,Geomorphology,,
,Surf Beat,When a set of higher waves appears every few minutes.,---,Geomorphology,,
,Oscillation,Circular orbital path. ,---,Geomorphology,,
,Tides,Fluctuations of sea levels that occurs twice a day that causes wave processes to migrate through size-variable ranges.,---,Geomorphology,,
,Spring Tides,20% larger tides caused by the twice-monthly alignment of the moon and sun. ,---,Geomorphology,,
,Neap Tides,20% lower tides caused by the sun and moon forming at right angles relative to the Earth. ,---,Geomorphology,,
,Rip Currents,Strong narrow currents running at nearly right angles to the shoreline.,---,Geomorphology,,
,Wave Cut Platform,"Cliffs extending outwards towards the sea, where erosion has cut the base of the cliff. ",---,Geomorphology,,
,Sea Stack,Stacks formed by cutting off all sides of a stack.,---,Geomorphology,,
,Sea Arches,Arches formed by the regression and erosion of a sea cave.,---,Geomorphology,,
,Shingle Beaches,Beaches where larger grains are flattened steeply due to the angle of waves. ,---,Geomorphology,,
,Spit,"Sediment deposits from waves where one end is attached to the shore, and the other terminates in open water.",---,Geomorphology,,
,Lagoon,"Area where a spit or coral reef wraps around open water, cutting it off from the rest of the sea.",---,Geomorphology,,
